"","gamma","child_weight","depth","subsample","col_subsample","eta","n_iterations","cv_rmse","std_deviation"
"1",0,1,10,0.8,1,0.01,5140,5.338618,0.0659110576732232
"1",0,1,10,0.8,1,0.05,1150,5.333569,0.0633113886848186
"1",0,1,10,0.8,1,0.08,797,5.3301536,0.0572800979873413
"1",0,1,10,0.9,1,0.01,4618,5.3890694,0.0643130431020214
"1",0,1,10,0.9,1,0.05,1392,5.2974666,0.0591020069019751
"1",0,1,10,0.9,1,0.08,857,5.3177866,0.064606277826856
"1",0,1,10,1,1,0.01,6166,5.543336,0.0777594922539872
"1",0,1,10,1,1,0.05,1693,5.4136752,0.0588303151662016
"1",0,1,10,1,1,0.08,1121,5.3906246,0.0627248052005215
"1",0,1,11,0.8,1,0.01,4376,5.2683788,0.0643728850880748
"1",0,1,11,0.8,1,0.05,927,5.2852148,0.0526745858698874
"1",0,1,11,0.8,1,0.08,510,5.32516,0.0516786057977565
"1",0,1,11,0.9,1,0.01,4256,5.282981,0.0597434952843893
"1",0,1,11,0.9,1,0.05,939,5.2817642,0.0564527827388182
"1",0,1,11,0.9,1,0.08,717,5.2720694,0.055604088398617
"1",0,1,11,1,1,0.01,4470,5.5027926,0.0517787018245723
"1",0,1,11,1,1,0.05,1578,5.319575,0.0452914989065639
"1",0,1,11,1,1,0.08,777,5.3565746,0.0507045118884215
"1",0,2,9,0.8,0.8,0.01,4897,5.5223438,0.0667860932033188
"1",0,2,9,0.8,0.8,0.05,1540,5.3948758,0.0622725842643367
"1",0,2,9,0.8,0.8,0.08,905,5.4214636,0.0596824996346371
"1",0,2,9,0.9,0.8,0.01,7534,5.391963,0.065534536995421
"1",0,2,9,0.9,0.8,0.05,1627,5.3856618,0.0600460737047454
"1",0,2,9,0.9,0.8,0.08,786,5.4767804,0.0685080107041529
"1",0,2,9,1,0.8,0.01,7156,5.6668212,0.0742281983760897
"1",0,2,9,1,0.8,0.05,1531,5.6055472,0.0702672542408997
"1",0,2,9,1,0.8,0.08,1416,5.4584678,0.0696028622670085
"1",0,2,10,0.8,0.8,0.01,5140,5.3386182,0.0659111640540481
"1",0,2,10,0.8,0.8,0.05,1150,5.3335688,0.0633116256098276
"1",0,2,10,0.8,0.8,0.08,797,5.330154,0.0572801792804345
"1",0,2,10,0.9,0.8,0.01,4618,5.3890692,0.0643130848596096
"1",0,2,10,0.9,0.8,0.05,1392,5.2974672,0.0591018431773723
"1",0,2,10,0.9,0.8,0.08,857,5.3177864,0.0646061222225919
"1",0,2,10,1,0.8,0.01,6166,5.5433362,0.0777595640816037
"1",0,2,10,1,0.8,0.05,1693,5.4136748,0.0588301399297754
"1",0,2,10,1,0.8,0.08,1121,5.3906248,0.0627246170411135
"1",0,2,11,0.8,0.8,0.01,4376,5.268379,0.0643727198151043
"1",0,2,11,0.8,0.8,0.05,927,5.2852146,0.0526748397381754
"1",0,2,11,0.8,0.8,0.08,510,5.3251602,0.0516784615459951
"1",0,2,11,0.9,0.8,0.01,4256,5.282981,0.0597434952843893
"1",0,2,11,0.9,0.8,0.05,939,5.281764,0.0564529982906186
"1",0,2,11,0.9,0.8,0.08,717,5.2720692,0.0556045203536901
"1",0,2,11,1,0.8,0.01,4470,5.5027928,0.0517785575171807
"1",0,2,11,1,0.8,0.05,1578,5.3195748,0.0452918892403584
"1",0,2,11,1,0.8,0.08,777,5.3565744,0.050704365664486
"1",0,2,9,0.8,0.9,0.01,4897,5.5223438,0.0667863350376509
"1",0,2,9,0.8,0.9,0.05,1540,5.3948758,0.0622725842643367
"1",0,2,9,0.8,0.9,0.08,905,5.421464,0.0596831874517017
"1",0,2,9,0.9,0.9,0.01,7534,5.3919632,0.0655346049546409
"1",0,2,9,0.9,0.9,0.05,1627,5.3856618,0.0600460737047454
"1",0,2,9,0.9,0.9,0.08,786,5.4767802,0.0685079139410617
"1",0,2,9,1,0.9,0.01,7156,5.6668212,0.0742281983760897
"1",0,2,9,1,0.9,0.05,1531,5.605547,0.0702671298061879
"1",0,2,9,1,0.9,0.08,1416,5.4584676,0.0696025329958908
"1",0,2,10,0.8,0.9,0.01,5140,5.3386178,0.0659109512946251
"1",0,2,10,0.8,0.9,0.05,1150,5.3335686,0.0633117995403392
"1",0,2,10,0.8,0.9,0.08,797,5.3301538,0.0572803401086595
"1",0,2,10,0.9,0.9,0.01,4618,5.389069,0.0643133312805197
"1",0,2,10,0.9,0.9,0.05,1392,5.2974672,0.0591018431773723
"1",0,2,10,0.9,0.9,0.08,857,5.3177862,0.064605845513881
"1",0,2,10,1,0.9,0.01,6166,5.5433362,0.0777595640816037
"1",0,2,10,1,0.9,0.05,1693,5.413675,0.0588299387149383
"1",0,2,10,1,0.9,0.08,1121,5.3906246,0.062724657418299
"1",0,2,11,0.8,0.9,0.01,4376,5.2683792,0.0643728519094594
"1",0,2,11,0.8,0.9,0.05,927,5.2852146,0.0526748397381754
"1",0,2,11,0.8,0.9,0.08,510,5.3251602,0.0516787804206276
"1",0,2,11,0.9,0.9,0.01,4256,5.2829808,0.0597435283571747
"1",0,2,11,0.9,0.9,0.05,939,5.281764,0.0564529982906186
"1",0,2,11,0.9,0.9,0.08,717,5.2720696,0.0556039208998799
"1",0,2,11,1,0.9,0.01,4470,5.5027926,0.0517787018245723
"1",0,2,11,1,0.9,0.05,1578,5.3195748,0.0452915529669804
"1",0,2,11,1,0.9,0.08,777,5.3565744,0.0507048879481752
"1",0,2,9,0.8,1,0.01,4897,5.5223436,0.0667864935944022
"1",0,2,9,0.8,1,0.05,1540,5.394876,0.0622723219672983
"1",0,2,9,0.8,1,0.08,905,5.4214642,0.0596829267928434
"1",0,2,9,0.9,1,0.01,7534,5.3919634,0.0655343488946144
"1",0,2,9,0.9,1,0.05,1627,5.385662,0.0600458271755829
"1",0,2,9,0.9,1,0.08,786,5.4767802,0.0685079139410617
"1",0,2,9,1,1,0.01,7156,5.6668212,0.0742281983760897
"1",0,2,9,1,1,0.05,1531,5.6055474,0.070267585325247
"1",0,2,9,1,1,0.08,1416,5.4584678,0.0696028622670085
"1",0,2,10,0.8,1,0.01,5140,5.338618,0.0659110576732232
"1",0,2,10,0.8,1,0.05,1150,5.3335686,0.0633117995403392
"1",0,2,10,0.8,1,0.08,797,5.3301538,0.0572801514048616
"1",0,2,10,0.9,1,0.01,4618,5.3890692,0.0643136601023434
"1",0,2,10,0.9,1,0.05,1392,5.297467,0.0591021041351043
"1",0,2,10,0.9,1,0.08,857,5.3177868,0.0646059981345617
"1",0,2,10,1,1,0.01,6166,5.543336,0.0777592064028387
"1",0,2,10,1,1,0.05,1693,5.4136748,0.0588301399297754
"1",0,2,10,1,1,0.08,1121,5.390625,0.0627244227139757
"1",0,2,11,0.8,1,0.01,4376,5.2683788,0.0643724182252061
"1",0,2,11,0.8,1,0.05,927,5.2852148,0.0526746717479624
"1",0,2,11,0.8,1,0.08,510,5.3251598,0.0516783166382626
"1",0,2,11,0.9,1,0.01,4256,5.282981,0.0597438435757076
"1",0,2,11,0.9,1,0.05,939,5.2817642,0.0564529892544292
"1",0,2,11,0.9,1,0.08,717,5.2720694,0.055604088398617
"1",0,2,11,1,1,0.01,4470,5.5027928,0.0517785575171807
"1",0,2,11,1,1,0.05,1578,5.3195748,0.0452915529669804
"1",0,2,11,1,1,0.08,777,5.3565746,0.0507043945614584
"1",0,3,9,0.8,0.8,0.01,4897,5.5223434,0.0667865088310707
"1",0,3,9,0.8,0.8,0.05,1540,5.3948758,0.0622725842643367
"1",0,3,9,0.8,0.8,0.08,905,5.4214638,0.059682883098616
"1",0,3,9,0.9,0.8,0.01,7534,5.3919632,0.0655348687780712
"1",0,3,9,0.9,0.8,0.05,1627,5.3856618,0.0600460737047454
"1",0,3,9,0.9,0.8,0.08,786,5.4767804,0.0685077437071134
"1",0,3,9,1,0.8,0.01,7156,5.666821,0.0742283952002736
"1",0,3,9,1,0.8,0.05,1531,5.6055472,0.0702672542408997
"1",0,3,9,1,0.8,0.08,1416,5.4584682,0.0696028150505619
"1",0,3,10,0.8,0.8,0.01,5140,5.3386176,0.0659114851557479
"1",0,3,10,0.8,0.8,0.05,1150,5.3335686,0.0633117995403392
"1",0,3,10,0.8,0.8,0.08,797,5.3301542,0.0572799297883768
"1",0,3,10,0.9,0.8,0.01,4618,5.389069,0.064313560877903
"1",0,3,10,0.9,0.8,0.05,1392,5.2974668,0.0591020074189946
"1",0,3,10,0.9,0.8,0.08,857,5.3177868,0.0646062698734545
"1",0,3,10,1,0.8,0.01,6166,5.543336,0.0777597618000233
"1",0,3,10,1,0.8,0.05,1693,5.413675,0.0588299806153388
"1",0,3,10,1,0.8,0.08,1121,5.3906246,0.062724657418299
"1",0,3,11,0.8,0.8,0.01,4376,5.2683788,0.0643728850880748
"1",0,3,11,0.8,0.8,0.05,927,5.2852148,0.0526745858698874
"1",0,3,11,0.8,0.8,0.08,510,5.32516,0.0516787050843881
"1",0,3,11,0.9,0.8,0.01,4256,5.282981,0.0597438435757076
"1",0,3,11,0.9,0.8,0.05,939,5.281764,0.0564529982906186
"1",0,3,11,0.9,0.8,0.08,717,5.272069,0.0556043521786079
"1",0,3,11,1,0.8,0.01,4470,5.5027928,0.0517785575171807
"1",0,3,11,1,0.8,0.05,1578,5.3195748,0.0452915529669804
"1",0,3,11,1,0.8,0.08,777,5.3565746,0.0507047276399546
"1",0,3,9,0.8,0.9,0.01,4897,5.5223438,0.0667863350376509
"1",0,3,9,0.8,0.9,0.05,1540,5.3948758,0.0622725842643367
"1",0,3,9,0.8,0.9,0.08,905,5.421464,0.0596831874517017
"1",0,3,9,0.9,0.9,0.01,7534,5.3919632,0.0655342809356983
"1",0,3,9,0.9,0.9,0.05,1627,5.3856618,0.0600460737047454
"1",0,3,9,0.9,0.9,0.08,786,5.4767802,0.0685079139410617
"1",0,3,9,1,0.9,0.01,7156,5.6668212,0.0742281983760897
"1",0,3,9,1,0.9,0.05,1531,5.605547,0.0702671298061879
"1",0,3,9,1,0.9,0.08,1416,5.4584678,0.0696026270578746
"1",0,3,10,0.8,0.9,0.01,5140,5.3386178,0.0659109512946251
"1",0,3,10,0.8,0.9,0.05,1150,5.3335686,0.0633117995403392
"1",0,3,10,0.8,0.9,0.08,797,5.3301538,0.0572801514048616
"1",0,3,10,0.9,0.9,0.01,4618,5.389069,0.0643133312805197
"1",0,3,10,0.9,0.9,0.05,1392,5.2974668,0.0591021036186868
"1",0,3,10,0.9,0.9,0.08,857,5.3177862,0.0646062668891896
"1",0,3,10,1,0.9,0.01,6166,5.543336,0.0777592064028387
"1",0,3,10,1,0.9,0.05,1693,5.4136754,0.0588296878203606
"1",0,3,10,1,0.9,0.08,1121,5.390625,0.0627244227139757
"1",0,3,11,0.8,0.9,0.01,4376,5.2683788,0.0643728850880748
"1",0,3,11,0.8,0.9,0.05,927,5.2852148,0.0526745858698874
"1",0,3,11,0.8,0.9,0.08,510,5.3251604,0.0516786361685631
"1",0,3,11,0.9,0.9,0.01,4256,5.282981,0.0597434952843893
"1",0,3,11,0.9,0.9,0.05,939,5.281764,0.0564529982906186
"1",0,3,11,0.9,0.9,0.08,717,5.2720692,0.0556043610858603
"1",0,3,11,1,0.9,0.01,4470,5.5027928,0.0517785575171807
"1",0,3,11,1,0.9,0.05,1578,5.3195748,0.0452915529669804
"1",0,3,11,1,0.9,0.08,777,5.3565748,0.0507047838035452
"1",0,3,9,0.8,1,0.01,4897,5.5223438,0.0667863350376509
"1",0,3,9,0.8,1,0.05,1540,5.3948758,0.0622725842643367
"1",0,3,9,0.8,1,0.08,905,5.4214644,0.0596830338190107
"1",0,3,9,0.9,1,0.01,7534,5.391963,0.065534536995421
"1",0,3,9,0.9,1,0.05,1627,5.3856618,0.0600460737047454
"1",0,3,9,0.9,1,0.08,786,5.4767802,0.0685079139410617
"1",0,3,9,1,1,0.01,7156,5.6668216,0.0742282772980779
"1",0,3,9,1,1,0.05,1531,5.605547,0.0702671298061879
"1",0,3,9,1,1,0.08,1416,5.4584676,0.0696025329958908
"1",0,3,10,0.8,1,0.01,5140,5.3386184,0.0659113787766539
"1",0,3,10,0.8,1,0.05,1150,5.333569,0.0633113886848186
"1",0,3,10,0.8,1,0.08,797,5.330154,0.0572799019133027
"1",0,3,10,0.9,1,0.01,4618,5.3890692,0.0643130848596096
"1",0,3,10,0.9,1,0.05,1392,5.2974668,0.0591020074189946
"1",0,3,10,0.9,1,0.08,857,5.3177864,0.0646061222225919
"1",0,3,10,1,1,0.01,6166,5.5433362,0.0777595640816037
"1",0,3,10,1,1,0.05,1693,5.4136748,0.0588301399297754
"1",0,3,10,1,1,0.08,1121,5.3906244,0.0627248517434636
"1",0,3,11,0.8,1,0.01,4376,5.2683788,0.0643727351582918
"1",0,3,11,0.8,1,0.05,927,5.285215,0.052674979278588
"1",0,3,11,0.8,1,0.08,510,5.3251602,0.0516784615459951
"1",0,3,11,0.9,1,0.01,4256,5.2829808,0.0597435283571747
"1",0,3,11,0.9,1,0.05,939,5.2817642,0.0564527827388182
"1",0,3,11,0.9,1,0.08,717,5.2720694,0.0556039119940265
"1",0,3,11,1,1,0.01,4470,5.5027928,0.0517785575171807
"1",0,3,11,1,1,0.05,1578,5.319575,0.0452916784277374
"1",0,3,11,1,1,0.08,777,5.3565744,0.050704365664486
"1",0,4,9,0.8,0.8,0.01,4897,5.5223438,0.0667862365234117
"1",0,4,9,0.8,0.8,0.05,1540,5.394876,0.0622723219672983
"1",0,4,9,0.8,0.8,0.08,905,5.4214642,0.0596829267928434
"1",0,4,9,0.9,0.8,0.01,7534,5.3919632,0.0655346049546409
"1",0,4,9,0.9,0.8,0.05,1627,5.3856618,0.0600460737047454
"1",0,4,9,0.9,0.8,0.08,786,5.4767808,0.0685080442383069
"1",0,4,9,1,0.8,0.01,7156,5.666821,0.0742278796922212
"1",0,4,9,1,0.8,0.05,1531,5.6055474,0.0702671635818741
"1",0,4,9,1,0.8,0.08,1416,5.4584678,0.0696030767291088
"1",0,4,10,0.8,0.8,0.01,5140,5.338618,0.0659112572175232
"1",0,4,10,0.8,0.8,0.05,1150,5.3335688,0.0633115626166263
"1",0,4,10,0.8,0.8,0.08,797,5.3301542,0.0572802309401983
"1",0,4,10,0.9,0.8,0.01,4618,5.389069,0.0643129856342818
"1",0,4,10,0.9,0.8,0.05,1392,5.2974668,0.0591021036186868
"1",0,4,10,0.9,0.8,0.08,857,5.3177868,0.0646059981345617
"1",0,4,10,1,0.8,0.01,6166,5.5433362,0.0777595640816037
"1",0,4,10,1,0.8,0.05,1693,5.4136748,0.0588301399297754
"1",0,4,10,1,0.8,0.08,1121,5.3906248,0.0627246170411135
"1",0,4,11,0.8,0.8,0.01,4376,5.2683786,0.0643724335677756
"1",0,4,11,0.8,0.8,0.05,927,5.285215,0.0526744178781229
"1",0,4,11,0.8,0.8,0.08,510,5.3251602,0.0516784615459951
"1",0,4,11,0.9,0.8,0.01,4256,5.282981,0.0597434952843893
"1",0,4,11,0.9,0.8,0.05,939,5.2817642,0.0564527827388182
"1",0,4,11,0.9,0.8,0.08,717,5.2720696,0.0556039208998799
"1",0,4,11,1,0.8,0.01,4470,5.5027924,0.0517783629351395
"1",0,4,11,1,0.8,0.05,1578,5.3195746,0.0452917637792441
"1",0,4,11,1,0.8,0.08,777,5.3565748,0.0507043515781012
"1",0,4,9,0.8,0.9,0.01,4897,5.5223436,0.0667862082606647
"1",0,4,9,0.8,0.9,0.05,1540,5.3948758,0.0622725842643367
"1",0,4,9,0.8,0.9,0.08,905,5.4214638,0.0596831716731181
"1",0,4,9,0.9,0.9,0.01,7534,5.3919634,0.0655346127191027
"1",0,4,9,0.9,0.9,0.05,1627,5.3856618,0.0600460737047454
"1",0,4,9,0.9,0.9,0.08,786,5.4767804,0.0685077437071134
"1",0,4,9,1,0.9,0.01,6116,5.7262346,0.0750922398270875
"1",0,4,9,1,0.9,0.05,1531,5.6055472,0.0702669550795907
"1",0,4,9,1,0.9,0.08,1416,5.4584676,0.0696028753159044
"1",0,4,10,0.8,0.9,0.01,5140,5.338618,0.0659110576732232
"1",0,4,10,0.8,0.9,0.05,1150,5.3335684,0.0633114872755466
"1",0,4,10,0.8,0.9,0.08,797,5.3301542,0.0572799297883768
"1",0,4,10,0.9,0.9,0.01,4618,5.3890694,0.0643133887509887
"1",0,4,10,0.9,0.9,0.05,1392,5.297467,0.0591018426616137
"1",0,4,10,0.9,0.9,0.08,857,5.3177864,0.0646061222225919
"1",0,4,10,1,0.9,0.01,6166,5.5433362,0.0777595640816037
"1",0,4,10,1,0.9,0.05,1693,5.413675,0.0588300483528842
"1",0,4,10,1,0.9,0.08,1121,5.3906248,0.0627244692584476
"1",0,4,11,0.8,0.9,0.01,4376,5.2683788,0.0643724182252061
"1",0,4,11,0.8,0.9,0.05,927,5.2852152,0.0526748112874037
"1",0,4,11,0.8,0.9,0.08,510,5.32516,0.0516786057977565
"1",0,4,11,0.9,0.9,0.01,4256,5.2829808,0.0597435283571747
"1",0,4,11,0.9,0.9,0.05,939,5.2817644,0.0564528870779748
"1",0,4,11,0.9,0.9,0.08,717,5.2720694,0.055604088398617
"1",0,4,11,1,0.9,0.01,4470,5.5027928,0.0517785575171807
"1",0,4,11,1,0.9,0.05,1578,5.3195746,0.0452915673678395
"1",0,4,11,1,0.9,0.08,777,5.3565748,0.0507047838035452
"1",0,4,9,0.8,1,0.01,4897,5.5223438,0.0667863350376509
"1",0,4,9,0.8,1,0.05,1540,5.3948758,0.0622725842643367
"1",0,4,9,0.8,1,0.08,905,5.4214638,0.0596831716731181
"1",0,4,9,0.9,1,0.01,7534,5.3919632,0.0655346049546409
"1",0,4,9,0.9,1,0.05,1627,5.385662,0.0600458271755829
"1",0,4,9,0.9,1,0.08,786,5.4767806,0.0685077137747546
"1",0,4,9,1,1,0.01,7156,5.6668212,0.0742281983760897
"1",0,4,9,1,1,0.05,1531,5.605547,0.0702671298061879
"1",0,4,9,1,1,0.08,1416,5.4584674,0.0696027812536181
"1",0,4,10,0.8,1,0.01,5140,5.3386178,0.0659109512946251
"1",0,4,10,0.8,1,0.05,1150,5.3335688,0.0633110764192061
"1",0,4,10,0.8,1,0.08,797,5.3301542,0.0572799297883768
"1",0,4,10,0.9,1,0.01,4618,5.3890694,0.0643134136820856
"1",0,4,10,0.9,1,0.05,1392,5.297467,0.0591021041351043
"1",0,4,10,0.9,1,0.08,857,5.3177866,0.0646063989326198
"1",0,4,10,1,1,0.01,6166,5.543336,0.0777597618000233
"1",0,4,10,1,1,0.05,1693,5.413675,0.0588299806153388
"1",0,4,10,1,1,0.08,1121,5.3906248,0.0627246108744764
"1",0,4,11,0.8,1,0.01,4376,5.2683786,0.0643725834982335
"1",0,4,11,0.8,1,0.05,927,5.2852148,0.0526746717479624
"1",0,4,11,0.8,1,0.08,510,5.3251598,0.0516788493347479
"1",0,4,11,0.9,1,0.01,4256,5.2829808,0.059743989637138
"1",0,4,11,0.9,1,0.05,939,5.2817642,0.0564527982845548
"1",0,4,11,0.9,1,0.08,717,5.2720694,0.055604088398617
"1",0,4,11,1,1,0.01,4470,5.502793,0.0517784353375385
"1",0,4,11,1,1,0.05,1578,5.3195748,0.0452915529669804
"1",0,4,11,1,1,0.08,777,5.3565744,0.050704365664486
"1",0,5,9,0.8,0.8,0.01,4897,5.5223438,0.0667863350376509
"1",0,5,9,0.8,0.8,0.05,1540,5.394876,0.0622724486719435
"1",0,5,9,0.8,0.8,0.08,905,5.4214636,0.0596828673191781
"1",0,5,9,0.9,0.8,0.01,7534,5.391963,0.065534536995421
"1",0,5,9,0.9,0.8,0.05,1627,5.3856618,0.0600460737047454
"1",0,5,9,0.9,0.8,0.08,786,5.4767806,0.0685077137747546
"1",0,5,9,1,0.8,0.01,6116,5.7262346,0.0750918713167262
"1",0,5,9,1,0.8,0.05,1531,5.6055468,0.0702673199386329
"1",0,5,9,1,0.8,0.08,1416,5.4584678,0.0696028622670085
"1",0,5,10,0.8,0.8,0.01,5140,5.338618,0.0659110576732232
"1",0,5,10,0.8,0.8,0.05,1150,5.333569,0.0633113886848186
"1",0,5,10,0.8,0.8,0.08,797,5.3301538,0.0572798484963561
"1",0,5,10,0.9,0.8,0.01,4618,5.3890692,0.0643132895236991
"1",0,5,10,0.9,0.8,0.05,1392,5.2974672,0.0591018431773723
"1",0,5,10,0.9,0.8,0.08,857,5.3177864,0.0646061222225919
"1",0,5,10,1,0.8,0.01,6166,5.5433358,0.0777596899721325
"1",0,5,10,1,0.8,0.05,1693,5.4136748,0.0588301399297754
"1",0,5,10,1,0.8,0.08,1121,5.3906246,0.062724657418299
"1",0,5,11,0.8,0.8,0.01,4376,5.2683786,0.0643725834982335
"1",0,5,11,0.8,0.8,0.05,927,5.285215,0.0526744178781229
"1",0,5,11,0.8,0.8,0.08,510,5.3251598,0.0516784159254497
"1",0,5,11,0.9,0.8,0.01,4256,5.282981,0.0597434952843893
"1",0,5,11,0.9,0.8,0.05,939,5.281764,0.0564529982906186
"1",0,5,11,0.9,0.8,0.08,717,5.272069,0.0556043521786079
"1",0,5,11,1,0.8,0.01,4470,5.5027928,0.0517785575171807
"1",0,5,11,1,0.8,0.05,1578,5.3195744,0.0452914419051275
"1",0,5,11,1,0.8,0.08,777,5.3565746,0.0507045118884215
"1",0,5,9,0.8,0.9,0.01,4897,5.5223438,0.0667863350376509
"1",0,5,9,0.8,0.9,0.05,1540,5.3948758,0.0622725842643367
"1",0,5,9,0.8,0.9,0.08,905,5.4214642,0.0596829267928434
"1",0,5,9,0.9,0.9,0.01,7534,5.391963,0.065534536995421
"1",0,5,9,0.9,0.9,0.05,1627,5.3856618,0.0600460737047454
"1",0,5,9,0.9,0.9,0.08,786,5.4767802,0.0685079139410617
"1",0,5,9,1,0.9,0.01,7156,5.6668212,0.074228530370499
"1",0,5,9,1,0.9,0.05,1531,5.6055472,0.0702672696477996
"1",0,5,9,1,0.9,0.08,1416,5.4584676,0.0696028753159044
"1",0,5,10,0.8,0.9,0.01,5140,5.3386182,0.0659113635950346
"1",0,5,10,0.8,0.9,0.05,1150,5.3335684,0.0633114872755466
"1",0,5,10,0.8,0.9,0.08,797,5.3301538,0.0572801514048616
"1",0,5,10,0.9,0.9,0.01,4618,5.3890692,0.0643136601023434
"1",0,5,10,0.9,0.9,0.05,1392,5.297467,0.0591021041351043
"1",0,5,10,0.9,0.9,0.08,857,5.3177864,0.0646061222225919
"1",0,5,10,1,0.9,0.01,6166,5.5433362,0.0777595640816037
"1",0,5,10,1,0.9,0.05,1693,5.4136756,0.0588298053799392
"1",0,5,10,1,0.9,0.08,1121,5.3906246,0.062724657418299
"1",0,5,11,0.8,0.9,0.01,4376,5.2683786,0.0643731381574666
"1",0,5,11,0.8,0.9,0.05,927,5.2852146,0.0526748397381754
"1",0,5,11,0.8,0.9,0.08,510,5.3251602,0.0516784615459951
"1",0,5,11,0.9,0.9,0.01,4256,5.2829806,0.0597436744186325
"1",0,5,11,0.9,0.9,0.05,939,5.2817642,0.0564527827388182
